name	holdout_sharpe	holdout_ann	holdout_dd	composite	alpha_inf	beats_raw
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.35 neu0.70 boostmid+low	0.4236	0.0256	-0.0924	0.5185	1.0000	False
regime mom_resid_vol sm18 w0.40 cg1.05 cb0.80 mn0.35 neu0.70 boostmid	0.4734	0.0286	-0.0891	0.5688	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.25 neu0.55 boostmid+low	0.3302	0.0201	-0.0979	0.4237	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.3690	0.0224	-0.0945	0.4623	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.3302	0.0201	-0.0979	0.4237	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.3690	0.0224	-0.0945	0.4623	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.4948	0.0321	-0.0963	0.5992	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.5340	0.0345	-0.0941	0.6390	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.5033	0.0328	-0.0960	0.6081	1.0000	False
regime mom_resid_vol sm18 w0.40 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.5426	0.0351	-0.0938	0.6481	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	-0.1713	-0.0120	-0.1027	-0.1064	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	-0.1471	-0.0105	-0.1004	-0.0822	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	-0.1713	-0.0120	-0.1027	-0.1064	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	-0.1471	-0.0105	-0.1004	-0.0822	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.0368	0.0004	-0.0994	0.1117	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.0616	0.0019	-0.0975	0.1366	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	0.0460	0.0009	-0.0991	0.1212	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.0708	0.0025	-0.0973	0.1462	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	0.0330	0.0002	-0.0918	0.1021	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.0479	0.0011	-0.0905	0.1169	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.25 neu0.70 boostmid+low	0.0330	0.0002	-0.0918	0.1021	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.25 neu0.70 boostmid	0.0479	0.0011	-0.0905	0.1169	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.35 neu0.55 boostmid+low	0.2356	0.0127	-0.0895	0.3154	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.35 neu0.55 boostmid	0.2501	0.0135	-0.0885	0.3299	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.35 neu0.70 boostmid+low	0.2398	0.0129	-0.0892	0.3196	1.0000	False
regime mom_resid_vol sm18 w0.55 cg1.05 cb0.80 mn0.35 neu0.70 boostmid	0.2554	0.0138	-0.0881	0.3353	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.25 neu0.55 boostmid+low	0.1237	0.0059	-0.0958	0.2013	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.25 neu0.55 boostmid	0.1416	0.0069	-0.0929	0.2182	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.25 neu0.70 boostmid+low	0.1237	0.0059	-0.0958	0.2013	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.25 neu0.70 boostmid	0.1416	0.0069	-0.0929	0.2182	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.35 neu0.55 boostmid+low	0.2881	0.0168	-0.0924	0.3742	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.35 neu0.55 boostmid	0.3067	0.0179	-0.0921	0.3937	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.35 neu0.70 boostmid+low	0.2970	0.0174	-0.0921	0.3835	1.0000	False
regime mom_resid_vol sm18 w0.55 cg0.95 cb0.75 mn0.35 neu0.70 boostmid	0.3156	0.0185	-0.0918	0.4030	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.25 neu0.55 boostmid+low	0.3049	0.0180	-0.0994	0.3975	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.25 neu0.55 boostmid	0.3353	0.0197	-0.0951	0.4263	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.25 neu0.70 boostmid+low	0.3049	0.0180	-0.0994	0.3975	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.25 neu0.70 boostmid	0.3353	0.0197	-0.0951	0.4263	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.35 neu0.55 boostmid+low	0.5196	0.0333	-0.0954	0.6245	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.35 neu0.55 boostmid	0.5505	0.0349	-0.0915	0.6540	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.35 neu0.70 boostmid+low	0.5281	0.0340	-0.0952	0.6335	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.00 cb0.85 mn0.35 neu0.70 boostmid	0.5591	0.0356	-0.0912	0.6631	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.25 neu0.55 boostmid+low	0.4172	0.0250	-0.0891	0.5090	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.25 neu0.55 boostmid	0.4426	0.0262	-0.0858	0.5331	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.25 neu0.70 boostmid+low	0.4172	0.0250	-0.0891	0.5090	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.25 neu0.70 boostmid	0.4426	0.0262	-0.0858	0.5331	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.35 neu0.55 boostmid+low	0.6289	0.0402	-0.0869	0.7343	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.35 neu0.55 boostmid	0.6539	0.0413	-0.0844	0.7585	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.35 neu0.70 boostmid+low	0.6331	0.0405	-0.0866	0.7386	1.0000	False
regime mom_resid_vol sm20 w0.25 cg1.05 cb0.80 mn0.35 neu0.70 boostmid	0.6592	0.0417	-0.0841	0.7639	1.0000	False
